Pair;Affinity
(v, e);0.9898847436826609
(x, e);0.9877452478454862
(r, e);0.979002680393746
(p, e);0.9788759047239813
(f, e);0.9785973254813358
(h, e);0.9769452566109001
(b, e);0.9764632204120907
(c, e);0.9760965346464309
(t, e);0.9760844397868984
(q, u);0.975778705445204
(l, e);0.9753446269832463
(k, e);0.9748387514111208
(m, e);0.9747558249041054
(j, e);0.9746180014394524
(s, e);0.9738191082720434
(a, e);0.973707733213785
(d, e);0.9732415270620821
(n, e);0.9730792396657199
(o, e);0.97302116932683
(i, e);0.971435149978708
(w, e);0.9709054018614295
(y, e);0.9699376464384537
(q, e);0.9694481398229277
(u, e);0.9652255532359082
(g, e);0.9647622617711049
(z, e);0.963017531080835
(z, a);0.956991739367954
(q, t);0.9470617918253131
(h, t);0.9448946744796406
(u, t);0.9372258872651357
(o, t);0.9343471939916018
(e, t);0.9333998445456777
(f, o);0.9325402489637837
(t, h);0.9324953297976041
(z, h);0.931580777062261
(y, t);0.9305131982611311
(g, t);0.9302305247384122
(f, t);0.9293728053898198
(a, t);0.9291848046189294
(r, t);0.9291529348001194
(i, t);0.9287653421491975
(n, t);0.9284787971888153
(w, t);0.9270053610023866
(p, t);0.9269884202727209
(s, t);0.9268444987333776
(w, h);0.9250791489809491
(e, h);0.921963711211157
(d, t);0.9208942016351839
(m, t);0.9203839713909173
(l, t);0.9200444524037368
(d, a);0.9191634972969553
(s, h);0.9188886274712029
(a, h);0.9180868187653288
(o, h);0.9176836606080638
(c, t);0.9171482947004654
(i, h);0.917052506788967
(b, t);0.9170302597962773
(f, h);0.9164984387086075
(k, t);0.9156269758299268
(l, h);0.91366444477893
(j, a);0.9129286642606755
(d, h);0.9128839272532988
(r, h);0.9127537871644981
(n, h);0.9123499065792642
(n, a);0.9106242027401952
(q, i);0.9093995137391624
(m, h);0.907665392750326
(s, a);0.9071981538897878
(c, h);0.9070992335317316
(m, a);0.9067032888374893
(x, t);0.9062404498502536
(k, a);0.9049661018010179
(y, a);0.9041737564170168
(p, h);0.9040348439701711
(l, a);0.9039620429647973
(b, h);0.9030896429874913
(g, h);0.9029411135471305
(q, n);0.9028395797972384
(u, h);0.9020526096033403
(v, t);0.9015570481985232
(e, a);0.9007474401558105
(k, h);0.9006007566320068
(y, h);0.8999851409705121
(h, a);0.8999421036526597
(p, a);0.8993834747564904
(t, a);0.8988685422416772
(c, a);0.897310682527157
(v, a);0.8971130350934589
(v, h);0.8935816178461798
(i, a);0.8934021637852978
(j, h);0.893133604999767
(r, a);0.8927001626385831
(o, a);0.8923141707510606
(u, o);0.8921700208768267
(b, a);0.8911646869504628
(z, n);0.8886056251758903
(w, a);0.8846500714827722
(g, a);0.8836167725048346
(j, t);0.8807895241004717
(u, a);0.8796866805845511
(g, n);0.879126828138473
(x, a);0.8785832161848298
(f, a);0.8743680406302805
(d, n);0.8726765766589102
(k, n);0.8723470407675662
(j, o);0.8686577365387901
(g, o);0.8666987886358922
(m, o);0.8654114169664323
(r, o);0.865273061730646
(k, o);0.8624227665688011
(t, o);0.861165034659437
(p, o);0.8585899928374092
(c, o);0.8577301891493254
(e, o);0.8575920100040326
(i, n);0.8571426864192376
(h, o);0.8570533118193472
(n, o);0.8559377604930917
(a, n);0.8555470676853028
(l, o);0.8535778911366565
(s, o);0.8519179821705976
(j, n);0.8506904711358729
(a, o);0.8501622359754751
(b, o);0.8497866136899035
(x, n);0.8494590795183669
(d, o);0.8494045568623592
(m, n);0.8485356511780334
(x, h);0.8473198459751848
(e, n);0.845721444173198
(y, o);0.8443344513846984
(o, n);0.844039719686027
(t, n);0.8438607582938704
(i, o);0.8431488696872873
(u, n);0.8412673068893528
(w, o);0.8410377703623136
(s, n);0.8406859743323642
(h, n);0.8402276492465387
(v, o);0.8401845854263295
(c, n);0.8376405925990483
(z, t);0.8368069925670866
(q, h);0.8364603880911968
(g, i);0.832927932997789
(r, n);0.8304158710613635
(y, n);0.8286672356587714
(w, n);0.8279102613745574
(v, n);0.8271483962262675
(b, n);0.8233455821361028
(p, n);0.8230815413500929
(z, i);0.8187627261741189
(q, a);0.8181567961833112
(l, n);0.8176671387308322
