Pair;Affinity
(q, u);0.5020986358866737
(v, e);0.5015535649357089
(x, e);0.3786206896551724
(f, o);0.3446357485907761
(h, t);0.3197151150462662
(t, h);0.29132962054912404
(k, e);0.2806934273573818
(b, e);0.27755325636440686
(j, e);0.2697293609279054
(r, e);0.26695588868914083
(z, a);0.26042031523642734
(h, e);0.2556765839464442
(z, e);0.25446584938704025
(m, e);0.23459179969817184
(d, n);0.21762379279227387
(p, e);0.20349029815428302
(n, a);0.20185305074608142
(c, e);0.20008163568221454
(g, n);0.1996857356890976
(u, o);0.1930971274209498
(l, e);0.18587718506483739
(w, e);0.1835518474374255
(m, a);0.18166998847449425
(s, e);0.17897391204570104
(e, h);0.17809751126700601
(q, i);0.17785939139559287
(j, o);0.17472140095519673
(v, a);0.1703302151852709
(l, a);0.16638943690121594
(a, n);0.1645792960352439
(y, e);0.16027487023848527
(v, i);0.15727365881069647
(r, o);0.15286671520049921
(n, d);0.15234577138389646
(m, o);0.14808046203905936
(z, i);0.14763572679509632
(c, a);0.14747300456417678
(k, a);0.1470029834553838
(k, i);0.14566946930657265
(i, n);0.13906573757355248
(d, e);0.1342216590186177
(w, i);0.13317697720019994
(p, o);0.13161381921438714
(c, h);0.12878956547552786
(q, e);0.1285414480587618
(f, t);0.12781461421920715
(s, a);0.12734713726433006
(w, h);0.12410319504786804
(x, i);0.12241379310344827
(y, a);0.12227759479919298
(n, i);0.12012795727588996
(w, o);0.1196739590141874
(x, a);0.1196551724137931
(o, t);0.11913729034849854
(o, f);0.1175617655920458
(c, o);0.11658132027162418
(g, o);0.11459684639418245
(n, e);0.1136292868039579
(j, u);0.11172390266090516
(e, r);0.11150953677121306
(r, a);0.10995587383184513
(u, s);0.1095004944405586
(m, i);0.10923759734594983
(u, n);0.1090422324594197
(w, a);0.10893152370333346
(o, r);0.10763993505406581
(f, e);0.10742610391761177
(g, a);0.1070143063346184
(i, t);0.10558882183766458
(n, o);0.10502263669945497
(s, i);0.10491461105753337
(s, t);0.10377809529793924
(c, i);0.10187762069093473
(x, c);0.10137931034482758
(a, h);0.10130246813236189
(u, t);0.10096837992330142
(b, a);0.10094161179960516
(i, s);0.0995879245557028
(l, i);0.09956201995194684
(g, e);0.09951398658895325
(h, a);0.098827709462963
(o, n);0.09809263164942586
(p, a);0.09777567439659252
(l, o);0.09710348621802724
(j, f);0.0966568114623607
(i, h);0.09580429917351514
(d, a);0.09427580336514153
(n, t);0.09308488594284485
(t, o);0.09245157414473364
(p, u);0.09155229531471841
(u, r);0.08870384216492608
(j, d);0.08778712758699113
(y, t);0.0869876360124847
(a, t);0.08688782993210946
(v, o);0.0867186725283443
(a, s);0.08513805504667589
(g, i);0.08484222835321847
(d, t);0.08460854149466557
(p, r);0.08451254141031708
(b, u);0.08415590858820246
(k, o);0.08387577976674804
(g, h);0.08387385576729824
(y, o);0.08243520546291666
(t, e);0.08225657179041712
(x, t);0.08137931034482758
(e, s);0.08131110589806509
(t, a);0.07723944210816866
(d, i);0.07484527900978566
(x, o);0.07482758620689656
(r, i);0.07342772668518877
(b, o);0.07329274721185748
(s, o);0.07280530883996164
(a, e);0.07216999483104079
(k, n);0.07210017177470392
(y, h);0.07191633184459657
(f, i);0.07186275171284341
(b, r);0.07151495105892568
(s, h);0.07138466414046897
(b, l);0.07130823057602663
(q, n);0.0708289611752361
(j, a);0.07073004321128042
(a, l);0.07070697846023463
(p, l);0.06978230004732608
(d, o);0.06908524214554973
(p, s);0.06851632749645055
(a, r);0.06758733805906494
(t, n);0.06746821672701295
(o, u);0.06700478725184962
(w, t);0.06637702333807528
(t, i);0.0661092078130835
(h, i);0.06582752593062477
(r, t);0.0650095829557104
(y, s);0.06438067976065251
(i, r);0.06408304785417353
(f, a);0.06341047517987156
(d, r);0.06339240571139655
(e, n);0.0629587015047085
(e, t);0.06288050581440811
(y, m);0.06179407149385249
(t, s);0.061676598093815455
(i, d);0.06065470463604324
(i, l);0.06007121203083953
(w, d);0.05959475566150179
(r, d);0.05886460546451335
(w, s);0.05774155100157638
(b, d);0.05708586135257212
(i, e);0.05594786428739993
(o, s);0.05575851159987948
(z, f);0.05499124343257443
(k, c);0.054109031733116354
(l, t);0.05391151857439429
(a, d);0.053810143945468396
(e, l);0.053676997186196354
(b, y);0.05350959699841859
(o, h);0.0534423018981621
(a, m);0.052109684218601314
(e, d);0.05206095291998843
(m, t);0.051852040523932934
(p, t);0.05087553241836252
(l, d);0.05075238868902557
(s, u);0.049613284120743874
(u, b);0.0490943296109597
(e, a);0.04904359223554031
(n, g);0.04896516345242709
(o, m);0.04865714237889592
(z, o);0.04798598949211909
(j, n);0.047589265408232884
(y, l);0.04754185994378438
(p, h);0.04729058211074302
(o, l);0.047269927354290114
(i, a);0.0471565757023306
(c, n);0.046875579798879366
(u, p);0.04665830539543185
(h, s);0.046558412284906335
(g, r);0.04614386727814219
(u, d);0.045886495742987386
(e, m);0.0457271020056574
(m, y);0.04563718217303541
(y, r);0.045576037661016366
(h, o);0.04551245614378957
(p, i);0.04535021296734501
(g, s);0.04533993532001973
(o, d);0.04517132000937364
(g, t);0.044937969340958506
(i, w);0.044913370797880756
(y, b);0.044636236657412356
(i, m);0.044488069521198936
(f, r);0.044138303288291325
(r, u);0.043713135335106304
(g, u);0.04353108841424421
(t, d);0.042929743947782886
(k, r);0.042875870174486935
(d, s);0.042806673962713364
(b, s);0.04138544067638942
(r, s);0.041124994428514125
(n, u);0.04051084343826935
(w, n);0.03995540005382752
(b, t);0.03953529235444294
(c, r);0.03950981483542989
(x, h);0.038620689655172416
(k, s);0.038265075490461986
(s, r);0.0378110050788048
(d, l);0.037785841829387705
(e, v);0.03766673989755123
(s, n);0.03674825356322279
(u, l);0.03674537517184824
(g, d);0.03663371763717089
(s, d);0.036546084894448834
(z, d);0.03642732049036777
(j, t);0.0359904480327496
(t, r);0.035522577083570116
(v, r);0.03424453773179519
(c, s);0.03421277227355375
(u, a);0.03398374375919539
(c, t);0.033869531336969835
(t, f);0.03383396385718229
(b, i);0.03380913497813931
(m, s);0.033449437415230224
(e, b);0.03332998208946332
(a, i);0.03321284605086037
(d, h);0.032976211047750704
(l, s);0.032683025371896206
(o, w);0.03256293729704396
(z, r);0.03239929947460595
(o, e);0.031713451173378863
(u, e);0.03148742191457032
(z, u);0.030823117338003504
(y, n);0.030582331741132243
(k, t);0.030512611879576892
(i, f);0.030383108278074424
(c, u);0.030205202419384763
(n, s);0.030132235959309944
(c, l);0.029741363315892982
(l, b);0.029652839563481317
(e, w);0.029627478213811842
(f, s);0.02931308385418903
(a, c);0.029035669471542413
(h, w);0.028757557344946356
