Pair;Affinity
(q, u);0.7620671563483735
(v, e);0.7583654498238417
(x, e);0.6523768366464996
(f, o);0.5805058990383866
(q, i);0.5574501573976915
(h, t);0.5369254677620059
(r, e);0.5219709210842545
(b, e);0.5029624511928315
(t, h);0.49864955669378014
(k, e);0.4954861071780524
(h, e);0.4884056583765482
(p, e);0.4821758696180978
(m, e);0.4522066195351966
(j, e);0.45211087420042645
(z, a);0.45095575697747464
(c, e);0.43365199685882094
(l, e);0.42273346207453977
(t, e);0.42042668604960254
(z, e);0.4177510544736606
(d, n);0.4055354993983153
(d, a);0.40390789684367256
(w, e);0.39503248616043046
(s, e);0.3941746072845304
(u, o);0.39377856315885684
(j, o);0.3875479744136461
(g, n);0.376933597977407
(n, a);0.3733391532695013
(f, e);0.37295949378925547
(y, e);0.3669803808951951
(e, h);0.3547412617918098
(l, a);0.35189288609158687
(m, a);0.34724746609056745
(s, a);0.3413438086069097
(g, i);0.339815885091666
(q, e);0.3389296956977964
(d, e);0.3348090703352102
(k, a);0.3293386042612961
(e, t);0.32880609629750807
(u, t);0.3236304917433429
(c, a);0.3213031190779605
(w, h);0.3204693823752888
(n, e);0.317966283377841
(o, t);0.31712460999835906
(q, n);0.3150577124868835
(r, o);0.3133110331494803
(v, a);0.3105182195610103
(a, e);0.3093872172619769
(a, n);0.30911011098784513
(y, a);0.30694826978553436
(g, o);0.2989864009173509
(m, o);0.2974295453516426
(v, i);0.2962270704798452
(f, t);0.2947399591664978
(k, n);0.29148307148601654
(c, h);0.29087882478521954
(i, t);0.29067815486247306
(i, n);0.2886001749305982
(n, d);0.2874935344878027
(n, t);0.28732619181916697
(k, i);0.2872693497049262
(o, e);0.2855125885316115
(p, o);0.2846935052298711
(i, h);0.28454879314185133
(y, t);0.28444438642979286
(b, a);0.283003067131447
(w, i);0.282253562623083
(i, e);0.28091300733947944
(z, i);0.2769451673696491
(g, e);0.2707106245999254
(p, a);0.26688761858428606
(c, i);0.26299850935065056
(s, h);0.26106262418763937
(n, o);0.2610475417010909
(a, t);0.2606339532698056
(y, h);0.2589164893593877
(f, r);0.2540934806664277
(s, i);0.2529658404418612
(w, o);0.25178712648668766
(t, o);0.25096021356090853
(r, a);0.24934134850108605
(n, i);0.24866652467894781
(w, t);0.24837956860859992
(j, d);0.24813077469793887
(c, o);0.2479838614871696
(w, a);0.24759261269363766
(j, u);0.24753375977256575
(a, h);0.24597832563862823
(o, n);0.24567377636124751
(u, n);0.24351959051855462
(s, t);0.24294785871541522
(l, o);0.24133465289242914
(u, e);0.24105173359332155
(i, s);0.24016830279291368
(h, a);0.238242840224248
(a, d);0.23707798216249473
(k, o);0.23677265158637564
(e, r);0.23537611102023012
(t, a);0.23444201286211186
(x, a);0.23439930855661192
(b, o);0.23308105392079892
(a, s);0.23119383390094905
(j, a);0.23070362473347547
(g, a);0.2298673248997223
(m, h);0.22962685070794228
(y, o);0.22833261540201977
(g, h);0.2283061704743791
(o, r);0.2282796756419815
(r, t);0.22652170035626887
(s, o);0.22586164227379432
(d, o);0.22411558949420518
(p, r);0.22406348820238384
(u, s);0.22354213637194564
(b, t);0.2226182625171414
(m, t);0.22199763264619704
(g, t);0.22123262121972673
(p, t);0.22060325954755533
(l, h);0.21997295056934688
(e, a);0.21764886307868478
(m, i);0.21689100470236672
(x, i);0.2167675021607606
(o, h);0.21580072444215861
(t, n);0.21398796061708156
(m, n);0.21377981022360498
(v, r);0.21308533337744182
(d, t);0.20899176129376246
(z, r);0.20784348918603607
(z, o);0.20784348918603607
(l, i);0.20670541149348218
(x, t);0.20570440795159897
(o, f);0.20510259259544783
(u, h);0.20148680762902932
(b, r);0.19975609500779867
(f, h);0.19793650546264982
(h, i);0.1966120686257397
(i, a);0.19505440776213784
(d, h);0.19403960719644633
(k, t);0.1938878379756012
(p, h);0.1936815859888105
(w, n);0.1933275442323497
(x, c);0.19101123595505617
(u, r);0.18946438364511609
(r, h);0.1886577415546745
(l, t);0.18819561009324937
(j, n);0.18808813077469794
(e, s);0.18781353945144227
(t, i);0.18652938249138706
(s, n);0.1861859713923178
(e, n);0.18520161949942746
(d, i);0.18454140729846039
(h, o);0.18388503818484506
(p, s);0.18375699343225493
(v, o);0.18114527680831005
(j, s);0.1800142146410803
(e, o);0.17670538197284474
(x, s);0.17510803802938635
(r, i);0.17446744833194525
(o, s);0.1738826377271591
(w, s);0.1723007024453783
(q, t);0.17130115424973766
(h, s);0.17125842009147846
(f, i);0.17054377133238782
(b, u);0.17024673135906374
(n, h);0.16961057137574398
(x, o);0.16836646499567848
(z, h);0.16656196715426724
(y, s);0.16655571364548116
(p, i);0.16651058136706398
(y, n);0.1656550361793871
(f, a);0.16408210339292115
(u, a);0.16394186825909451
(c, t);0.16125816447928373
(j, r);0.16036958066808812
(y, r);0.1600682252302819
(a, r);0.15982927928146148
(w, r);0.15922870567073455
(p, u);0.15868401848698613
(d, r);0.1586499812644128
(b, l);0.1580462477362895
(c, n);0.15798061685609355
(i, r);0.15676389258609355
(z, n);0.15597235932872655
(l, d);0.15476728993637184
(v, n);0.15468845625816696
(l, s);0.15275810047784266
(w, d);0.15249887577726434
(n, s);0.15230757348449564
(r, s);0.15187150740879019
(i, d);0.15183514149277733
(c, r);0.15153837834279293
(g, r);0.15082870129451478
(j, f);0.15010660980810234
(o, d);0.1495238483318998
(k, h);0.14910005323788272
(z, d);0.14888270663196626
(a, l);0.14848342449096255
(t, s);0.14801364126403935
(x, n);0.1453759723422645
(r, d);0.1452736559050393
(p, l);0.14403429822427632
(b, h);0.14389871138607124
(g, d);0.14381041414341436
(s, r);0.14373221675919792
(b, n);0.14357943661087208
(o, u);0.1423399988326107
(b, i);0.14222382731945274
(j, t);0.14186211798152096
(e, i);0.1409796063035062
(f, s);0.14082570952106355
(a, i);0.13915095025167257
(e, d);0.13824840503844266
(d, s);0.13803423247644847
(u, d);0.13776125769301079
(v, h);0.13696511570206923
(h, n);0.13601462454227922
(c, s);0.13572432861999728
(b, d);0.13247809565681626
(j, h);0.1323951670220327
(q, r);0.13064008394543547
(t, r);0.13060996112082873
(p, n);0.1299075650693262
(x, h);0.12878133102852204
(r, n);0.12624342671094457
(e, l);0.12548394132722612
(x, d);0.12515125324114088
(v, l);0.12494831036935343
(v, s);0.12424533139256
(f, n);0.12390630113928588
(m, s);0.12337406130540804
(r, f);0.12321582154209852
(b, s);0.12297836259146437
(i, l);0.12226127677606168
(o, a);0.12137544892176179
(i, o);0.12120870524194205
(v, t);0.12073043650859289
(y, i);0.119955444747571
(s, d);0.11962211194447266
(y, m);0.11890247882102625
(m, r);0.11815747430515579
(h, r);0.11712771887545678
(k, s);0.1164323822253435
(o, l);0.1157488527096097
(v, d);0.11536298526225251
(z, f);0.1123575338777708
(q, a);0.11175236096537251
(g, s);0.11159721294791086
(d, l);0.11125967523881683
(t, d);0.11034241734145256
(h, d);0.11031187887455589
(w, l);0.11018933461520569
(k, r);0.10996454583555158
(y, d);0.10988265086347557
(m, d);0.10809622064254898
(l, r);0.10682458513107952
(a, o);0.10678280584636105
(z, t);0.10616530557300548
(s, u);0.10495920851793095
(a, m);0.10403209006922812
(c, l);0.10399747953296122
(l, n);0.10384868851593229
(y, l);0.10298180805562444
(o, m);0.10128423837208662
(f, d);0.10110188114645512
(i, g);0.1002183916163696
(g, u);0.10007966953262076
(j, i);0.09944562899786781
(u, b);0.099101212601304
(i, w);0.09888603977769689
(c, u);0.0984722019759333
(o, i);0.09828647072881436
(n, r);0.09773748031090629
(k, l);0.09689294654690031
(n, g);0.09578319879606897
(e, m);0.09530576912590653
(s, l);0.0951672500833282
(b, y);0.09473039600540151
(u, l);0.09422338675278777
(r, u);0.09399633301540708
(n, u);0.09353401971132805
(u, i);0.09301992565961854
(c, m);0.09297513860217531
(t, u);0.09257617868556851
(i, m);0.09108342885702955
(h, l);0.08990001933172298
(x, l);0.08971477960242005
(f, l);0.0887707869021087
(m, y);0.08837797455418071
(k, c);0.08565635513065936
(y, u);0.08537726202752505
