Pair;Affinity
(v, e);0.9432532746135162
(q, u);0.9340390167089494
(x, e);0.9148268649779224
(r, e);0.8822045398657531
(p, e);0.8778220219336396
(h, e);0.8690062942036731
(b, e);0.8637299322742873
(f, e);0.8623848960575664
(t, e);0.8616032115819358
(k, e);0.8582559911345061
(l, e);0.8581341997268824
(c, e);0.8563413872594285
(m, e);0.8552715426240416
(j, e);0.8421881300282252
(s, e);0.8397908163651866
(z, a);0.839370418283743
(d, e);0.8385315229543363
(a, e);0.8330733458257775
(n, e);0.8324442661653565
(f, o);0.8307891534203202
(o, e);0.827662074328531
(w, e);0.8272662394019228
(h, t);0.8218868674886153
(y, e);0.8203997228290085
(i, e);0.8163989210012274
(q, e);0.8110401539672819
(z, e);0.8054580176184316
(t, h);0.7945116581672887
(q, i);0.7897821712886012
(u, e);0.7864570425845685
(g, e);0.7862237556917078
(q, t);0.775785145656548
(u, t);0.7717509804597075
(e, t);0.7597527195919273
(o, t);0.757218821237969
(d, a);0.752459510744681
(y, t);0.7444014256283734
(w, h);0.7413262966914791
(e, h);0.7407575887081703
(i, t);0.7341570265371081
(n, a);0.7300473770023967
(q, n);0.7297699238911731
(g, t);0.729490791883426
(n, t);0.7293424096015263
(r, t);0.7289578102752639
(a, t);0.7271976578001144
(u, o);0.725185673341609
(p, t);0.7248897417180622
(j, a);0.7246020621723853
(f, t);0.7238454575964365
(s, a);0.7192409662358311
(w, t);0.7185801275625019
(s, t);0.7156403407597448
(s, h);0.714245083817409
(i, h);0.7124148382749632
(m, t);0.7104902753508044
(o, h);0.7078565562551328
(g, n);0.7069445728644032
(y, a);0.7067720455032735
(a, h);0.7067692209179367
(m, a);0.7067114338121822
(l, a);0.705685093326874
(z, h);0.6996242222632908
(d, n);0.6995525408908887
(f, h);0.6993709327303689
(k, a);0.6989541487740685
(k, t);0.6964799679857167
(l, h);0.6964673750873239
(b, t);0.6961866284755671
(d, t);0.6924903772588586
(r, h);0.6916333984025161
(l, t);0.690121252970768
(c, a);0.6888398759026619
(d, h);0.6860951884319048
(v, a);0.6846183968581872
(j, o);0.6834930204873179
(m, h);0.6825644016697316
(x, t);0.6791192191494306
(c, t);0.6786689431131956
(e, a);0.6785169984455336
(n, h);0.6783931732413733
(c, h);0.6783633500966604
(b, a);0.6779805357254051
(p, a);0.6776742823923315
(y, h);0.6764246185014744
(g, h);0.6762584209698167
(h, a);0.675308060778537
(t, a);0.671684010435834
(u, h);0.6703054900187034
(p, h);0.6668757458005691
(k, h);0.6662587923842945
(k, n);0.6657816564313309
(z, n);0.6630012936610608
(r, o);0.6591257251975604
(r, a);0.6580212694258833
(g, o);0.6574496282850502
(m, o);0.6565244280981513
(g, i);0.6558647908160534
(b, h);0.6556079747118269
