Pair;Affinity
(q, u);0.8210190726550702
(x, e);0.8028466201181615
(v, e);0.7461886242620984
(z, e);0.6097684423636593
(q, e);0.5734660775211141
(h, t);0.5416419644977709
(f, o);0.5333349181947372
(r, e);0.5284172121510872
(b, e);0.527371823016562
(m, e);0.4934769348935978
(p, e);0.48235366143518754
(h, e);0.4800134524839051
(u, o);0.47548914590121477
(c, e);0.47000208278241007
(j, e);0.4674050366377495
(t, e);0.459513281827083
(k, e);0.4577150955316134
(s, e);0.456597023673376
(l, e);0.4417938213136986
(z, i);0.4412248513222827
(g, n);0.43974131097927127
(f, e);0.42486700371385855
(n, e);0.423486048835504
(y, o);0.4180511928985822
(w, e);0.4143811699192595
(t, h);0.41287089648100506
(z, a);0.4122485132228268
(x, t);0.407273843320801
(d, e);0.40585512537035906
(j, o);0.39863555967320813
(g, i);0.3975842480724425
(a, e);0.3963942278579128
(d, a);0.3954060530298608
(w, o);0.3882574753548964
(v, a);0.3854390983404579
(g, e);0.3816563783537098
(m, o);0.3799435985481709
(r, o);0.37657000116038186
(d, n);0.3745249936286144
(n, a);0.36674951034156833
(z, n);0.36049601417183347
(e, t);0.3594054595382486
(n, o);0.35892650202557663
(k, i);0.3587287494095082
(i, e);0.3575664930597279
(p, r);0.3567009269729687
(i, t);0.3563983369439457
(v, i);0.3533999721445484
(f, r);0.3523807259721804
(k, a);0.35176806051189236
(m, a);0.35102750041416286
(c, o);0.3473215184185831
(c, a);0.3460390861031609
(l, o);0.34427253814639414
(p, o);0.34397395544479575
(l, a);0.3439729052322155
(o, e);0.34315419857684165
(a, t);0.3414250505637709
(n, i);0.3403615980110425
(d, o);0.3401180877585394
(j, u);0.33984671102501474
(o, t);0.3396002716138292
(s, t);0.33875818418344006
(w, h);0.33846480077628904
(p, a);0.33778333177277275
(y, e);0.3364349354985282
(u, t);0.3342051998631447
(k, n);0.3341699819579854
(b, t);0.3329514956044645
(i, n);0.32947753123379947
(s, i);0.3287191574222324
(g, o);0.3272644296591646
(w, i);0.3268596479501405
(t, o);0.3251893480043919
(s, a);0.32378720408279965
(y, a);0.3217873833057855
(n, t);0.3208399869838193
(r, a);0.32081410232769003
(x, i);0.3180388245223663
(e, r);0.3174847579018139
(h, a);0.31658118356476317
(i, s);0.3157823813561941
(a, n);0.3130942000024222
(b, o);0.3119625248827252
(t, a);0.3116756944257302
(w, t);0.3093239969667565
(s, o);0.3067567760750229
(u, s);0.30600596663671625
(r, t);0.30504640178177084
(k, o);0.304494567475427
