Pair;Affinity
(q, u);0.9422887208155212
(x, e);0.9385223511263939
(v, e);0.9162497671112828
(z, e);0.8697966570850634
(q, e);0.8651054634283836
(r, e);0.8219130172622585
(b, e);0.8152839833341549
(m, e);0.8111246368146997
(p, e);0.8093770454299931
(h, e);0.803457077459675
(t, e);0.8022127383305168
(j, e);0.8022102378215896
(c, e);0.7962846127626061
(s, e);0.7938827795405905
(f, e);0.7906232468297948
(l, e);0.787950368337778
(n, e);0.785609846034475
(a, e);0.7797968470120452
(k, e);0.7771632335832788
(d, e);0.7744661289252438
(f, o);0.7718505665772674
(h, t);0.7716178701199393
(x, t);0.7702863386573255
(o, e);0.7665951327468552
(i, e);0.7636470002221792
(w, e);0.7617098362729223
(g, e);0.7595807042324438
(y, e);0.7413797198285246
(u, o);0.7360924688620705
(u, e);0.7350262644901118
(y, o);0.7012935862978019
(e, t);0.6916474128424901
(z, i);0.6871606515490258
(j, o);0.6843249933692865
(i, t);0.6828279651967003
(d, a);0.6824071353421229
(w, o);0.6818543400794227
(g, n);0.6802041622167395
(o, t);0.6789138577961449
(m, o);0.6783770077246263
(r, o);0.6778877551067304
(u, t);0.6778024136545587
(a, t);0.676046455971948
(s, t);0.6744734305376747
(b, t);0.6741751885345479
(n, t);0.6704971237259895
(v, a);0.6698316530843667
(p, o);0.6674218208854686
(z, a);0.6662408176301501
(w, t);0.6660283300214394
(n, o);0.6642189134116626
(j, t);0.6642029882415348
(c, o);0.6641807792383763
(l, o);0.66390574127597
(r, t);0.6628990354809015
(z, n);0.6616629404875971
(d, o);0.6606785724441147
(n, a);0.6590702594090806
(t, o);0.6570102827027182
(g, i);0.6560221758752554
(g, o);0.6516018412760669
(g, t);0.6505974606926781
(m, a);0.648014155047185
(k, a);0.6477895961442579
(s, o);0.6475510993610685
(l, a);0.6473909661275482
(m, t);0.646317346412468
(y, a);0.6453077809136646
(f, t);0.644367722494313
(c, a);0.6430262124391055
(b, o);0.6424961655218805
(p, a);0.6405254094037353
(e, o);0.6396151671732423
(q, t);0.6387936299149716
(f, r);0.6384605005574637
(s, a);0.637981369627365
(h, a);0.6379093464886577
(y, t);0.635479216723205
(t, h);0.63509103581283
(p, t);0.6349284774692907
(r, a);0.6346799466704168
(h, o);0.6333941637167875
(w, h);0.6328856962764974
(t, a);0.6321870554425764
(q, n);0.6311598628270776
(k, i);0.6309989343917723
(e, a);0.6287032948651969
(k, o);0.6279585292651214
(v, o);0.627626467198918
(z, t);0.6274353241775791
(k, t);0.6273132985951568
(v, i);0.625926667080691
(p, r);0.6217376384537662
(d, n);0.6213709562761248
(l, t);0.6201046551856042
(c, t);0.6163808160767933
(b, a);0.6132454037002352
(g, a);0.6129305387349044
(q, i);0.6127213792455489
(i, o);0.6121736294767322
(d, t);0.6117158482967986
(n, i);0.610592209584164
(a, o);0.6090056432293092
(x, i);0.6078670823022785
(w, a);0.607334111741666
(x, n);0.6070475945624578
(i, a);0.6037379861962201
(s, i);0.6033193564186752
(c, i);0.6025611168391791
(z, o);0.6022569998935378
(w, i);0.6021430968177595
(k, n);0.6019928829101858
(f, a);0.5985385218097332
(i, n);0.5978417259741842
(p, s);0.5975229247027574
(q, a);0.596984074787429
(u, s);0.5909034091754587
(p, i);0.5902928261408336
(e, r);0.5888601439748125
(o, a);0.5884815919204293
(a, n);0.5883387146440534
(i, s);0.5881890243465423
(l, i);0.5877677058389036
(h, i);0.5835703212688726
(t, i);0.5821583173412005
(o, r);0.5820916844383338
(v, t);0.580043564565953
(f, i);0.5770850445852636
(u, a);0.5759423222868707
(o, n);0.5729523645656899
(m, i);0.5726435397294264
(c, n);0.5720667410492174
(u, r);0.5708769214743828
(e, h);0.5701532304772479
(y, r);0.5697588577807158
(d, i);0.569007516373942
(e, s);0.5689198003726632
(j, a);0.5684908496154186
(a, s);0.5670722593092047
(e, n);0.5654144354785337
(j, s);0.5646892405622845
(a, r);0.5639970301372459
(i, h);0.563374382735958
(a, h);0.5614661941241478
(e, i);0.561329233314203
(h, s);0.560617639512002
(t, s);0.5606144798021749
(t, n);0.5597082271169287
(c, r);0.5562685647625721
(o, s);0.5561808305932606
(r, i);0.555633684038305
(s, h);0.5551380553434361
(b, r);0.5537841732459255
(v, r);0.5531457802864589
(r, s);0.5529630686662044
(s, r);0.5528251102944892
(j, i);0.5523472725665282
(g, r);0.5521694885609267
(d, r);0.5517304179569708
(b, i);0.5512312371519613
(t, r);0.5508565099915027
(a, i);0.5504390675807135
(j, u);0.550419945186102
(c, s);0.5490395547209278
(l, s);0.5456165400960433
(g, h);0.5433725456940164
(m, n);0.5416508634803411
(i, r);0.5415640879543028
(s, n);0.5412911691813167
(m, r);0.5403255557177872
(o, i);0.5393205040576228
(j, n);0.5391035275395633
(n, s);0.5389712939893331
(o, h);0.538704086352149
(k, h);0.5375040326916872
(u, n);0.5367844228508505
(h, r);0.5349324624983702
(d, s);0.534131053822437
(m, s);0.5341232190636969
(w, n);0.5325128338070335
(q, o);0.5318974021703387
(w, s);0.5316431349716145
(w, r);0.5306082769823541
(r, n);0.5300447676206155
(r, h);0.5298361186137434
(v, h);0.5296958990884563
(x, o);0.5282482244432304
(n, r);0.5276414187117476
(f, s);0.5273535977123865
(v, n);0.5256844628148598
(h, n);0.524790353257024
(b, n);0.5240825521822458
(b, s);0.5199682803851585
(u, h);0.5194766446927873
(f, h);0.5194733565471809
(c, h);0.517919560987693
(k, s);0.5174505567558584
(n, h);0.5174337798184109
(m, h);0.5164587845701001
(y, s);0.5161401411544901
(z, r);0.5146917917598212
(y, h);0.5124341430782445
(v, s);0.5118491479148122
(d, h);0.5104363992357699
(l, n);0.5103263890440415
(y, i);0.5099285123361741
(y, n);0.5092882504522406
(u, i);0.5077960149402538
(p, n);0.5064262247161022
(l, h);0.49798956156261065
(f, n);0.4964409905100971
(p, h);0.4949606959704632
(b, h);0.4942823509627512
(j, r);0.49412076739457167
(g, s);0.48965938512827717
(x, a);0.4893948645434971
(q, s);0.4855310753041763
(l, r);0.48343817131684225
(k, r);0.4724726021370822
(x, s);0.4720249381367098
(j, h);0.4658474051807975
(q, r);0.46368675717574104
(z, h);0.4451719365484936
(x, r);0.44377671369347943
(v, l);0.42851983981856534
(z, s);0.42781858831044395
(y, u);0.4269626451227284
