Pair;Affinity
(x, e);0.9916895841786514
(v, e);0.9869277170932697
(q, u);0.9841040621727388
(z, e);0.9828821656050956
(q, e);0.9811497547263407
(r, e);0.9713481289348308
(m, e);0.970992053707849
(b, e);0.9705928415675786
(p, e);0.9704081050460922
(f, e);0.9700889136395007
(h, e);0.9698051543647584
(t, e);0.9696590577872436
(j, e);0.9694890097061473
(s, e);0.9690442808647826
(l, e);0.9679852649088483
(n, e);0.9679107371584046
(a, e);0.9676399126645034
(c, e);0.9674743522110342
(o, e);0.96746256117467
(i, e);0.9663888621149944
(d, e);0.9660972973494821
(k, e);0.9646288819404389
(g, e);0.9633778098412511
(w, e);0.9632671201772766
(u, e);0.9630026721280261
(y, e);0.9617191182345532
(x, t);0.9499496566130171
(f, o);0.9369037487539142
(h, t);0.9356456802589259
(u, o);0.9254402115149157
(e, t);0.9219670136781536
(q, t);0.9207958992448878
(i, t);0.9205131455345225
(o, t);0.9204315766676502
(u, t);0.9198387615135495
(a, t);0.9196998957183693
(s, t);0.9195917018220212
(n, t);0.9194713900868299
(b, t);0.9189518655053188
(y, o);0.917680918993705
(r, t);0.9174970352564605
(w, t);0.917197513848311
(j, t);0.9158883959841233
(j, o);0.9146876355024849
(f, t);0.9140335968603039
(g, t);0.9134563692047295
(m, o);0.9129902365249872
(m, t);0.9126640754985119
(w, o);0.9125726844269525
(p, o);0.9111941575854396
(r, o);0.9111354575801798
(c, o);0.9098609585798204
(l, t);0.9089359628921395
(l, o);0.9086308577474397
(t, o);0.9083359917745152
(n, o);0.9081238572861978
(e, o);0.9077902328518452
(d, t);0.9077087507597648
(p, t);0.9076306759367181
(d, o);0.9073286169929046
(y, t);0.907293472971958
(s, o);0.9067647100290277
(d, a);0.9059653647856146
(c, t);0.9059420949352197
(k, t);0.9051613490786558
(g, o);0.9050309208267289
(z, t);0.9049810907643312
(h, o);0.9044626017396187
(b, o);0.9040103545484116
(a, o);0.9030768544690925
(i, o);0.9022134383186807
(v, o);0.89974838192591
(y, a);0.899190339811268
(v, a);0.8990096029861262
(k, o);0.8987923863877842
(k, a);0.8979860963540877
(n, a);0.8966613304868152
(m, a);0.8961157716329213
(v, t);0.8951731969176501
(h, a);0.8949767041326849
(l, a);0.8944689944433881
(z, i);0.8937848328025477
(z, a);0.8937599522292994
(s, a);0.893748482432244
(e, a);0.893724197470585
(z, o);0.8935609076433121
(r, a);0.8933974800777387
(t, a);0.8933868502406367
(p, a);0.8906014394118462
(c, a);0.8896936532473009
(o, a);0.8889208984445972
(i, a);0.8887544167886472
(b, a);0.8875749936752322
(q, a);0.8854654687758364
(g, a);0.8853387070481449
(w, a);0.8852664441224775
(g, n);0.8848670040268177
(z, n);0.8843053343949044
(u, a);0.8817129030257371
(f, a);0.8816391385949055
(g, i);0.8795957227634861
(q, n);0.8775285233974536
(x, o);0.8695580301459207
(x, n);0.8693401259336069
(k, i);0.8682978658814243
(w, h);0.8679348574537318
(f, r);0.8671531167543065
(v, i);0.8666675027333681
(x, i);0.8665073711735269
(p, r);0.8651989990952734
(c, i);0.8616920723551553
(q, i);0.8603207848757096
(d, n);0.8590998995561888
(q, o);0.8588656782230061
