Pair;Affinity
(q, u);0.9347547865260571
(x, e);0.929134409920482
(v, e);0.9032144480349215
(z, e);0.8478941872607031
(q, e);0.8424797788471383
(r, e);0.7964130818160811
(b, e);0.7898454427498043
(m, e);0.7835451449069966
(p, e);0.7809202586873781
(h, e);0.7744086482278858
(j, e);0.7740003081901533
(t, e);0.7725303431685027
(c, e);0.7676343764480835
(s, e);0.7632633389634245
(f, e);0.7584153252042394
(l, e);0.7564931934994495
(n, e);0.7534041692239482
(h, t);0.749556000892421
(f, o);0.7489342228551195
(k, e);0.7465723800299842
(a, e);0.7462597072240617
(d, e);0.7410514796737362
(x, t);0.7406557606753774
(o, e);0.7293784561304604
(w, e);0.727262689550352
(i, e);0.7270204109451587
(g, e);0.7244437631708257
(u, o);0.7105135656981121
(y, e);0.7035896046431996
(u, e);0.694693369965095
(y, o);0.6717609447686668
(z, i);0.6602854159415246
(e, t);0.6587514417236356
(g, n);0.6555679553721211
(j, o);0.6540372910085522
(d, a);0.6526558757559616
(w, o);0.6509411747474259
(i, t);0.649423889192858
(m, o);0.6469380642822956
(r, o);0.6467369650089393
(o, t);0.6443582685978163
(u, t);0.6442866504526955
(a, t);0.6418702173102903
(b, t);0.6402507809447903
(s, t);0.6394882242257977
(v, a);0.6390888068684104
(z, a);0.6376029701821557
(n, t);0.6343792533964248
(p, o);0.6338339298546001
(z, n);0.6320338786402134
(n, o);0.6314271663643105
(c, o);0.6310699668324663
(l, o);0.6308492741206564
(w, t);0.6293674462938322
(g, i);0.628251430077689
(n, a);0.6278835970640795
(d, o);0.6270598935403101
(r, t);0.6263995816154024
(j, t);0.6257415825564373
(t, o);0.6224141438085201
(g, o);0.6174697975328026
(m, a);0.6157996719437565
(l, a);0.615247344047746
(k, a);0.6145887784750508
(g, t);0.612703588194929
(s, o);0.6118505232677743
(y, a);0.6117709932295561
(c, a);0.6111294994738392
(t, h);0.6107401522844266
(f, r);0.6101307310687939
(p, a);0.6084001196480696
(m, t);0.6081633032382776
(b, o);0.6069560960762133
(f, t);0.6056260250315418
(s, a);0.604346923202995
(h, a);0.6038594260003125
(w, h);0.6025760482941455
(k, i);0.6015761612248418
(e, o);0.6007738359852853
(r, a);0.6007492003259508
(y, t);0.5987143943668883
(q, t);0.5985717211016689
(t, a);0.5979357996534039
(q, n);0.5979062148049554
(p, t);0.597422065441993
(v, i);0.5966407120132254
(h, o);0.5958335339970141
(d, n);0.5936551764121852
(p, r);0.5929249483416021
(e, a);0.5927933963082315
(k, o);0.5924880262162844
(v, o);0.5915463412928714
(k, t);0.5892693670147134
(z, t);0.5891054646710755
(n, i);0.580958530413418
(q, i);0.5807310330705436
(l, t);0.5791124766877085
(b, a);0.57872911923862
(g, a);0.5773574255879685
(c, t);0.5761266803476085
(x, i);0.5743335551896872
(s, i);0.5731021056670685
(k, n);0.5724171785652687
(w, i);0.5714435402186441
(i, o);0.571400916703427
(w, a);0.570972586672916
(c, i);0.5706630539240639
(d, t);0.5699702507129321
(x, n);0.5683784635863663
(i, n);0.5680920186975693
(a, o);0.5668438578475978
(z, o);0.5663650075414781
(p, s);0.5658373817701725
(i, a);0.5652095714288419
(f, a);0.5615197886213988
(u, s);0.5596294466363726
(e, r);0.5589507051727235
(q, a);0.5589229036551654
(i, s);0.557755913040021
(a, n);0.5575805430414672
(p, i);0.5570545945890192
(l, i);0.5557875006251645
(h, i);0.5511205878970806
(o, r);0.5510674106069525
(t, i);0.5494023460899036
(o, a);0.5466618028668784
(f, i);0.5441669553479322
(o, n);0.5407630638622439
(c, n);0.5395122797486298
(m, i);0.5392436119642948
(u, r);0.5386688845804176
(e, h);0.5380574067207369
(y, r);0.5366667484481955
(e, s);0.535864347890218
(v, t);0.5356256336747893
(u, a);0.5352989115034853
(d, i);0.5352226485924347
(j, a);0.534286154557362
(a, s);0.5341379219931838
(j, s);0.5338623930965406
(e, n);0.5314591096788909
(i, h);0.5308071609645644
(a, r);0.5307805022933699
(j, u);0.5296633022574929
(a, h);0.5281787276879453
(t, s);0.5265104315152525
(h, s);0.5264541892188073
